Mon Jun 10 14:48:54 2024    stats_profiling.raw

         80727910 function calls (80352947 primitive calls) in 260.053 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3441    0.051    0.000    0.052    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/stride_tricks.py:416(_broadcast_shape)
       75    0.051    0.001    3.536    0.047 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axis3d.py:348(draw)
20720/20210    0.051    0.000    1.516    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:1227(set)
     8490    0.050    0.000    0.438    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1467(transform)
    71295    0.050    0.000    0.322    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:55(_any)
   171488    0.050    0.000    0.050    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/shape_base.py:1181(_tile_dispatcher)
     5263    0.050    0.000    0.218    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:1159(update_from)
    38403    0.049    0.000    0.194    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/contextlib.py:279(helper)
     8270    0.049    0.000    0.238    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/font_manager.py:608(_from_any)
   175098    0.049    0.000    0.049    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/artist.py:295(axes)
        2    0.049    0.024    0.049    0.024 {built-in method pygraphviz._graphviz.agwrite}
