Tue Jun 11 10:11:33 2024    stats_profiling.raw

         81264732 function calls (80879145 primitive calls) in 221.513 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31893    0.047    0.000    0.059    0.000 {method '__reduce_ex__' of 'object' objects}
     1228    0.046    0.000    0.046    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     3159    0.045    0.000    0.496    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/lines.py:729(draw)
     2002    0.045    0.000    1.402    0.001 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/rk.py:85(__init__)
    11502    0.044    0.000    0.044    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1540    0.044    0.000    0.177    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:57(solve_lsq_trust_region)
     6230    0.044    0.000    0.782    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/text.py:185(_reset_visual_defaults)
    22586    0.044    0.000    0.044    0.000 {built-in method matplotlib._path.affine_transform}
    20348    0.043    0.000    4.274    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/base.py:19(fun_wrapped)
     2590    0.043    0.000    0.093    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/optimize/_lsq/common.py:106(phi_and_derivative)
     9430    0.042    0.000    0.402    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/font_manager.py:588(__init__)
    74149    0.042    0.000    0.062    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/lib/function_base.py:348(iterable)
     7818    0.042    0.000    0.082    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:1978(rotate)
    39520    0.042    0.000    0.134    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/re.py:187(match)
    71297    0.042    0.000    0.306    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/numpy/core/_methods.py:55(_any)
    27011    0.041    0.000    0.194    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/colors.py:265(to_rgba)
    20348    0.041    0.000    4.315    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/scipy/integrate/_ivp/base.py:136(fun)
     4022    0.040    0.000    0.070    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/transforms.py:624(translated)
    39522    0.039    0.000    0.059    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/re.py:288(_compile)
    40706    0.039    0.000    0.179    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/colors.py:213(_is_nth_color)
    20978    0.039    0.000    0.128    0.000 /Users/federicasibilla/miniconda3/lib/python3.10/site-packages/matplotlib/markers.py:277(_recache)
